Year,State,District,GDP,GDPKC
2011,UP,Aligarh,15128.96,15.12896
2004,UP,Allahabad,6955.02,6.95502
2005,UP,Allahabad,8977.85,8.97785
2006,UP,Allahabad,9990.3,9.9903
2007,UP,Allahabad,11977.87,11.97787
2008,UP,Allahabad,13703.33,13.70333
2009,UP,Allahabad,14955.24,14.95524
2010,UP,Allahabad,18687.57,18.68757
2011,UP,Allahabad,20138.55,20.13855
2004,UP,Ambedkar.Nagar,1830.48,1.83048
2005,UP,Ambedkar.Nagar,2351.66,2.35166
2006,UP,Ambedkar.Nagar,2627.9,2.6279
2007,UP,Ambedkar.Nagar,3118.18,3.11818
2008,UP,Ambedkar.Nagar,3645.23,3.64523
2009,UP,Ambedkar.Nagar,4214.36,4.21436
2010,UP,Ambedkar.Nagar,4953.7,4.9537
2011,UP,Ambedkar.Nagar,5368.7,5.3687
2004,UP,Amethi,NA,NA
2005,UP,Amethi,NA,NA
2006,UP,Amethi,NA,NA
2007,UP,Amethi,NA,NA
2008,UP,Amethi,NA,NA
2009,UP,Amethi,NA,NA
2010,UP,Amethi,4285.24,4.28524
2011,UP,Amethi,5504.52,5.50452
2004,UP,Amorha,3462.8,3.4628
2005,UP,Amorha,3848.4,3.8484
2006,UP,Amorha,4002.5,4.0025
2007,UP,Amorha,4478.46,4.47846
2008,UP,Amorha,5444.81,5.44481
2009,UP,Amorha,5969.02,5.96902
2010,UP,Amorha,5885.37,5.88537
2011,UP,Amorha,9117.3,9.1173
2004,UP,Auraiyya,1417.47,1.41747
2005,UP,Auraiyya,1764.91,1.76491
2006,UP,Auraiyya,2084.93,2.08493
2007,UP,Auraiyya,2644.94,2.64494
2008,UP,Auraiyya,3132.84,3.13284
2009,UP,Auraiyya,3300.39,3.30039
2010,UP,Auraiyya,3782.75,3.78275
2011,UP,Auraiyya,5122.18,5.12218
2004,UP,Azamgarh,3157.37,3.15737
2005,UP,Azamgarh,4248.85,4.24885
2006,UP,Azamgarh,4847,4.847
2007,UP,Azamgarh,5096.94,5.09694
2008,UP,Azamgarh,5921.09,5.92109
2009,UP,Azamgarh,7503.85,7.50385
2010,UP,Azamgarh,9267.53,9.26753
2011,UP,Azamgarh,8875.46,8.87546
2004,UP,Badaun,4055.91,4.05591
2005,UP,Badaun,5569.03,5.56903
2006,UP,Badaun,5944.62,5.94462
2007,UP,Badaun,7379.99,7.37999
2008,UP,Badaun,8895.05,8.89505
2009,UP,Badaun,10542.03,10.54203
2010,UP,Badaun,9866.41,9.86641
2011,UP,Badaun,12504.62,12.50462
2004,UP,Bagpat,2646.05,2.64605
2005,UP,Bagpat,3044.16,3.04416
2006,UP,Bagpat,3255.48,3.25548
2007,UP,Bagpat,3590.13,3.59013
2008,UP,Bagpat,4316.22,4.31622
2009,UP,Bagpat,5766.15,5.76615
2010,UP,Bagpat,7004.89,7.00489
2011,UP,Bagpat,6922.75,6.92275
2004,UP,Bahraich,2179.28,2.17928
2005,UP,Bahraich,3033.82,3.03382
2006,UP,Bahraich,3320.27,3.32027
2007,UP,Bahraich,3633.36,3.63336
2008,UP,Bahraich,4319.4,4.3194
2009,UP,Bahraich,4868.01,4.86801
2010,UP,Bahraich,5149.46,5.14946
2011,UP,Bahraich,6290.52,6.29052
2004,UP,Ballia,2211.24,2.21124
2005,UP,Ballia,3002,3.002
2006,UP,Ballia,3389.77,3.38977
2007,UP,Ballia,3993.39,3.99339
2008,UP,Ballia,4645.71,4.64571
2009,UP,Ballia,5150.72,5.15072
2010,UP,Ballia,6633.37,6.63337
2011,UP,Ballia,7608.6,7.6086
2004,UP,Balrampur,1579.4,1.5794
2005,UP,Balrampur,2195.4,2.1954
2006,UP,Balrampur,2462.1,2.4621
2007,UP,Balrampur,2674.22,2.67422
2008,UP,Balrampur,3000.27,3.00027
2009,UP,Balrampur,3417.71,3.41771
2010,UP,Balrampur,3601.81,3.60181
2011,UP,Balrampur,5266.01,5.26601
2004,UP,Banda,1795.13,1.79513
2005,UP,Banda,2141.55,2.14155
2006,UP,Banda,2434.34,2.43434
2007,UP,Banda,2590.36,2.59036
2008,UP,Banda,3333,3.333
2009,UP,Banda,3747.29,3.74729
2010,UP,Banda,4543.36,4.54336
2011,UP,Banda,5628.93,5.62893
2004,UP,Barabanki,3984.02,3.98402
2005,UP,Barabanki,4676.98,4.67698
2006,UP,Barabanki,4961.23,4.96123
2007,UP,Barabanki,5519.96,5.51996
2008,UP,Barabanki,6824.62,6.82462
2009,UP,Barabanki,10342.03,10.34203
2010,UP,Barabanki,10794.37,10.79437
2011,UP,Barabanki,8073.87,8.07387
2004,UP,Bareilly,5876.07,5.87607
2005,UP,Bareilly,7009.66,7.00966
2006,UP,Bareilly,7801.26,7.80126
2007,UP,Bareilly,9244.37,9.24437
2008,UP,Bareilly,10549.98,10.54998
2009,UP,Bareilly,12562.63,12.56263
2010,UP,Bareilly,13464.18,13.46418
2011,UP,Bareilly,19632.64,19.63264
2004,UP,Basti,1826.59,1.82659
2005,UP,Basti,2390.4,2.3904
2006,UP,Basti,2661.92,2.66192
2007,UP,Basti,2955.61,2.95561
2008,UP,Basti,3299.41,3.29941
2009,UP,Basti,3950.24,3.95024
2010,UP,Basti,4360.71,4.36071
2011,UP,Basti,5186.16,5.18616
2004,UP,Bijnor,5891.08,5.89108
2005,UP,Bijnor,7287.2,7.2872
2006,UP,Bijnor,7974.14,7.97414
2007,UP,Bijnor,9864.44,9.86444
2008,UP,Bijnor,11167.37,11.16737
2009,UP,Bijnor,13658.35,13.65835
2010,UP,Bijnor,14373.31,14.37331
2011,UP,Bijnor,15405.8,15.4058
2004,UP,Buland.Shahar,6377.36,6.37736
2005,UP,Buland.Shahar,7003.02,7.00302
2006,UP,Buland.Shahar,8248.99,8.24899
2007,UP,Buland.Shahar,9425.56,9.42556
2008,UP,Buland.Shahar,10787.32,10.78732
2009,UP,Buland.Shahar,12854.54,12.85454
2010,UP,Buland.Shahar,14705.35,14.70535
2011,UP,Buland.Shahar,16838.97,16.83897
2004,UP,Chandauli,1951.9,1.9519
2005,UP,Chandauli,2439.71,2.43971
2006,UP,Chandauli,2969.75,2.96975
2007,UP,Chandauli,3195.67,3.19567
2008,UP,Chandauli,3815.04,3.81504
2009,UP,Chandauli,4000.56,4.00056
2010,UP,Chandauli,4574.82,4.57482
2011,UP,Chandauli,5596.13,5.59613
2004,UP,Chitrakoot,716.83,0.71683
2005,UP,Chitrakoot,819.12,0.81912
2006,UP,Chitrakoot,826.74,0.82674
2007,UP,Chitrakoot,932.34,0.93234
2008,UP,Chitrakoot,1335.02,1.33502
2009,UP,Chitrakoot,1611.51,1.61151
2010,UP,Chitrakoot,1728.37,1.72837
2011,UP,Chitrakoot,4907.95,4.90795
2004,UP,Deoria,2053.71,2.05371
2005,UP,Deoria,2616.65,2.61665
2006,UP,Deoria,2945.38,2.94538
2007,UP,Deoria,3462.46,3.46246
2008,UP,Deoria,3819.56,3.81956
2009,UP,Deoria,4340.63,4.34063
2010,UP,Deoria,5590.41,5.59041
2011,UP,Deoria,6415.62,6.41562
2004,UP,Etah,3907.01,3.90701
2005,UP,Etah,4699.82,4.69982
2006,UP,Etah,5124.85,5.12485
2007,UP,Etah,5989.53,5.98953
2008,UP,Etah,4204.62,4.20462
2009,UP,Etah,4713.18,4.71318
2010,UP,Etah,5435.24,5.43524
2011,UP,Etah,6311.45,6.31145
2004,UP,Etawah,1976.8,1.9768
2005,UP,Etawah,2054.58,2.05458
2006,UP,Etawah,2403.57,2.40357
2007,UP,Etawah,2773.95,2.77395
2008,UP,Etawah,3232.21,3.23221
2009,UP,Etawah,3578.23,3.57823
2010,UP,Etawah,4181.77,4.18177
2011,UP,Etawah,4865.01,4.86501
2004,UP,Faizabad,2119.96,2.11996
2005,UP,Faizabad,2782.48,2.78248
2006,UP,Faizabad,2986.42,2.98642
2007,UP,Faizabad,3706.49,3.70649
2008,UP,Faizabad,4441.67,4.44167
2009,UP,Faizabad,5327.38,5.32738
2010,UP,Faizabad,6671.09,6.67109
2011,UP,Faizabad,7314.52,7.31452
2004,UP,Farrukhabad,2290.41,2.29041
2005,UP,Farrukhabad,2593.48,2.59348
2006,UP,Farrukhabad,2854.05,2.85405
2007,UP,Farrukhabad,3194.04,3.19404
2008,UP,Farrukhabad,3717.91,3.71791
2009,UP,Farrukhabad,4501.03,4.50103
2010,UP,Farrukhabad,5332.87,5.33287
2011,UP,Farrukhabad,5338.61,5.33861
2004,UP,Fatehpur,2357.22,2.35722
2005,UP,Fatehpur,3038.77,3.03877
2006,UP,Fatehpur,3401.53,3.40153
2007,UP,Fatehpur,4013.03,4.01303
2008,UP,Fatehpur,4747.4,4.7474
2009,UP,Fatehpur,5135.73,5.13573
2010,UP,Fatehpur,6616.3,6.6163
2011,UP,Fatehpur,7630.43,7.63043
2004,UP,Firozabad,3374.33,3.37433
2005,UP,Firozabad,3647.88,3.64788
2006,UP,Firozabad,4302.32,4.30232
2007,UP,Firozabad,4850.63,4.85063
2008,UP,Firozabad,5504.15,5.50415
2009,UP,Firozabad,6315.28,6.31528
2010,UP,Firozabad,7200.6,7.2006
2011,UP,Firozabad,7985.95,7.98595
2004,UP,Gautambudh.nagar,7174.43,7.17443
2005,UP,Gautambudh.nagar,7914.57,7.91457
2006,UP,Gautambudh.nagar,13076.16,13.07616
2007,UP,Gautambudh.nagar,14865.54,14.86554
2008,UP,Gautambudh.nagar,16506.03,16.50603
2009,UP,Gautambudh.nagar,18165.05,18.16505
2010,UP,Gautambudh.nagar,18681.08,18.68108
2011,UP,Gautambudh.nagar,24697.46,24.69746
2004,UP,Ghaziabad,8682.79,8.68279
2005,UP,Ghaziabad,10203.91,10.20391
2006,UP,Ghaziabad,12832.91,12.83291
2007,UP,Ghaziabad,14520.12,14.52012
2008,UP,Ghaziabad,16405.17,16.40517
2009,UP,Ghaziabad,18077.52,18.07752
2010,UP,Ghaziabad,19869.02,19.86902
2011,UP,Ghaziabad,24225.97,24.22597
2004,UP,Ghazipur,2574.81,2.57481
2005,UP,Ghazipur,3575.56,3.57556
2006,UP,Ghazipur,4023.06,4.02306
2007,UP,Ghazipur,4675.49,4.67549
2008,UP,Ghazipur,5228.57,5.22857
2009,UP,Ghazipur,6170.39,6.17039
2010,UP,Ghazipur,7584.15,7.58415
2011,UP,Ghazipur,8169.83,8.16983
2004,UP,Gonda,2514.68,2.51468
2005,UP,Gonda,3397.61,3.39761
2006,UP,Gonda,3522.55,3.52255
2007,UP,Gonda,3991.19,3.99119
2008,UP,Gonda,4453.38,4.45338
2009,UP,Gonda,5564.16,5.56416
2010,UP,Gonda,7020.79,7.02079
2011,UP,Gonda,7596.98,7.59698
2004,UP,Gorakhpur,4177.79,4.17779
2005,UP,Gorakhpur,5251.57,5.25157
2006,UP,Gorakhpur,6074.48,6.07448
2007,UP,Gorakhpur,6879.82,6.87982
2008,UP,Gorakhpur,8010.62,8.01062
2009,UP,Gorakhpur,9458.87,9.45887
2010,UP,Gorakhpur,11068.62,11.06862
2011,UP,Gorakhpur,12108.21,12.10821
2004,UP,Hamirpur,1413.21,1.41321
2005,UP,Hamirpur,1743.57,1.74357
2006,UP,Hamirpur,1879.42,1.87942
2007,UP,Hamirpur,1951.34,1.95134
2008,UP,Hamirpur,2454.06,2.45406
2009,UP,Hamirpur,3008.99,3.00899
2010,UP,Hamirpur,3474.38,3.47438
2011,UP,Hamirpur,4129.97,4.12997
2004,UP,Hardoi,3802.14,3.80214
2005,UP,Hardoi,4339.75,4.33975
2006,UP,Hardoi,4914.15,4.91415
2007,UP,Hardoi,5536.48,5.53648
2008,UP,Hardoi,6353.47,6.35347
2009,UP,Hardoi,7353.49,7.35349
2010,UP,Hardoi,8467.91,8.46791
2011,UP,Hardoi,9953.67,9.95367
2004,UP,Hathras,2651.4,2.6514
2005,UP,Hathras,2954.16,2.95416
2006,UP,Hathras,3356.64,3.35664
2007,UP,Hathras,3792.4,3.7924
2008,UP,Hathras,4182.27,4.18227
2009,UP,Hathras,5110.32,5.11032
2010,UP,Hathras,6222.19,6.22219
2011,UP,Hathras,6548.08,6.54808
2004,UP,Jalaun,2505.94,2.50594
2005,UP,Jalaun,2703.67,2.70367
2006,UP,Jalaun,3337.77,3.33777
2007,UP,Jalaun,3149.75,3.14975
2008,UP,Jalaun,4483.21,4.48321
2009,UP,Jalaun,4911.29,4.91129
2010,UP,Jalaun,5262.56,5.26256
2011,UP,Jalaun,6145.62,6.14562
2004,UP,Jaunpur,2981.14,2.98114
2005,UP,Jaunpur,4009.88,4.00988
2006,UP,Jaunpur,4466.31,4.46631
2007,UP,Jaunpur,5182.61,5.18261
2008,UP,Jaunpur,5965.35,5.96535
2009,UP,Jaunpur,6767.07,6.76707
2010,UP,Jaunpur,7923.03,7.92303
2011,UP,Jaunpur,8743.23,8.74323
2004,UP,Jhansi,3610.81,3.61081
2005,UP,Jhansi,4019.55,4.01955
2006,UP,Jhansi,4633.59,4.63359
2007,UP,Jhansi,5252.99,5.25299
2008,UP,Jhansi,6428.08,6.42808
2009,UP,Jhansi,7687.51,7.68751
2010,UP,Jhansi,8714.84,8.71484
2011,UP,Jhansi,10235.53,10.23553
2004,UP,Kannauj,1999.51,1.99951
2005,UP,Kannauj,2135.17,2.13517
2006,UP,Kannauj,2628.67,2.62867
2007,UP,Kannauj,2792.36,2.79236
2008,UP,Kannauj,3241.84,3.24184
2009,UP,Kannauj,3599.23,3.59923
2010,UP,Kannauj,4386.65,4.38665
2011,UP,Kannauj,4679.84,4.67984
2004,UP,Kanpur.Dehat,1921.69,1.92169
2005,UP,Kanpur.Dehat,2403.8,2.4038
2006,UP,Kanpur.Dehat,2683.9,2.6839
2007,UP,Kanpur.Dehat,3043.52,3.04352
2008,UP,Kanpur.Dehat,3767.46,3.76746
2009,UP,Kanpur.Dehat,4125.76,4.12576
2010,UP,Kanpur.Dehat,4734.94,4.73494
2011,UP,Kanpur.Dehat,5415.75,5.41575
2004,UP,Kanpur.Nagar,9347.86,9.34786
2005,UP,Kanpur.Nagar,10760.32,10.76032
2006,UP,Kanpur.Nagar,12573.44,12.57344
2007,UP,Kanpur.Nagar,14302.22,14.30222
2008,UP,Kanpur.Nagar,16679.95,16.67995
2009,UP,Kanpur.Nagar,20208.67,20.20867
2010,UP,Kanpur.Nagar,23681.13,23.68113
2011,UP,Kanpur.Nagar,25534.38,25.53438
2004,UP,Kanshiram.Nagar,0,0
2005,UP,Kanshiram.Nagar,0,0
2006,UP,Kanshiram.Nagar,0,0
2007,UP,Kanshiram.Nagar,0,0
2008,UP,Kanshiram.Nagar,3070.43,3.07043
2009,UP,Kanshiram.Nagar,3903.05,3.90305
2010,UP,Kanshiram.Nagar,4437.76,4.43776
2011,UP,Kanshiram.Nagar,5997.13,5.99713
2004,UP,Kaushambi,1482.85,1.48285
2005,UP,Kaushambi,1990.94,1.99094
2006,UP,Kaushambi,2073.97,2.07397
2007,UP,Kaushambi,2386.22,2.38622
2008,UP,Kaushambi,2754.26,2.75426
2009,UP,Kaushambi,3198.93,3.19893
2010,UP,Kaushambi,4143.29,4.14329
2011,UP,Kaushambi,4726.87,4.72687
2004,UP,Kheri,4817.63,4.81763
2005,UP,Kheri,5470.91,5.47091
2006,UP,Kheri,5977.96,5.97796
2007,UP,Kheri,6516.85,6.51685
2008,UP,Kheri,7571.37,7.57137
2009,UP,Kheri,9470.33,9.47033
2010,UP,Kheri,10129.55,10.12955
2011,UP,Kheri,13662.32,13.66232
2004,UP,Kushi.Nagar,2559.14,2.55914
2005,UP,Kushi.Nagar,3076.73,3.07673
2006,UP,Kushi.Nagar,3452.85,3.45285
2007,UP,Kushi.Nagar,3981.21,3.98121
2008,UP,Kushi.Nagar,4641.27,4.64127
2009,UP,Kushi.Nagar,5237.22,5.23722
2010,UP,Kushi.Nagar,6031.9,6.0319
2011,UP,Kushi.Nagar,7179.79,7.17979
2004,UP,Lalitpur,1333.26,1.33326
2005,UP,Lalitpur,1628.09,1.62809
2006,UP,Lalitpur,2086.47,2.08647
2007,UP,Lalitpur,1931.15,1.93115
2008,UP,Lalitpur,2892.92,2.89292
2009,UP,Lalitpur,3320.07,3.32007
2010,UP,Lalitpur,4072.65,4.07265
2011,UP,Lalitpur,4305.85,4.30585
2004,UP,Lucknow,10063.94,10.06394
2005,UP,Lucknow,11263.18,11.26318
2006,UP,Lucknow,12988.02,12.98802
2007,UP,Lucknow,14484.85,14.48485
2008,UP,Lucknow,16932.65,16.93265
2009,UP,Lucknow,20361.08,20.36108
2010,UP,Lucknow,23551.4,23.5514
2011,UP,Lucknow,25991.49,25.99149
2004,UP,Maharaj.Ganj,1945.7,1.9457
2005,UP,Maharaj.Ganj,2265.84,2.26584
2006,UP,Maharaj.Ganj,2671.47,2.67147
2007,UP,Maharaj.Ganj,2958.67,2.95867
2008,UP,Maharaj.Ganj,3501.93,3.50193
2009,UP,Maharaj.Ganj,4160.57,4.16057
2010,UP,Maharaj.Ganj,4924.27,4.92427
2011,UP,Maharaj.Ganj,5315.4,5.3154
2004,UP,Mahoba,1326.01,1.32601
2005,UP,Mahoba,1319.13,1.31913
2006,UP,Mahoba,1523.84,1.52384
2007,UP,Mahoba,1408.34,1.40834
2008,UP,Mahoba,2173.08,2.17308
2009,UP,Mahoba,2427.33,2.42733
2010,UP,Mahoba,3075.37,3.07537
2011,UP,Mahoba,4103.04,4.10304
2004,UP,Mainpuri,2025.89,2.02589
2005,UP,Mainpuri,2463.35,2.46335
2006,UP,Mainpuri,2880.64,2.88064
2007,UP,Mainpuri,3130.21,3.13021
2008,UP,Mainpuri,3876.19,3.87619
2009,UP,Mainpuri,4275.41,4.27541
2010,UP,Mainpuri,5087.81,5.08781
2011,UP,Mainpuri,5712.41,5.71241
2004,UP,Mathura,3893.7,3.8937
2005,UP,Mathura,4958.22,4.95822
2006,UP,Mathura,6050.04,6.05004
2007,UP,Mathura,7167.64,7.16764
2008,UP,Mathura,8154.33,8.15433
2009,UP,Mathura,8176.56,8.17656
2010,UP,Mathura,9558.2,9.5582
2011,UP,Mathura,12043.1,12.0431
2004,UP,Mau,2043.87,2.04387
2005,UP,Mau,2887.83,2.88783
2006,UP,Mau,2681.96,2.68196
2007,UP,Mau,3124.81,3.12481
2008,UP,Mau,3466.63,3.46663
2009,UP,Mau,4598.83,4.59883
2010,UP,Mau,5455.5,5.4555
2011,UP,Mau,5580.32,5.58032
2004,UP,Meerut,6809.13,6.80913
2005,UP,Meerut,8662.64,8.66264
2006,UP,Meerut,9292.13,9.29213
2007,UP,Meerut,10554.07,10.55407
2008,UP,Meerut,11923.69,11.92369
2009,UP,Meerut,14411.98,14.41198
2010,UP,Meerut,17078.69,17.07869
2011,UP,Meerut,18977.47,18.97747
2004,UP,Mirzapur,2110.51,2.11051
2005,UP,Mirzapur,2642.34,2.64234
2006,UP,Mirzapur,3158.91,3.15891
2007,UP,Mirzapur,3490.34,3.49034
2008,UP,Mirzapur,3925.78,3.92578
2009,UP,Mirzapur,4662.5,4.6625
2010,UP,Mirzapur,5341.79,5.34179
2011,UP,Mirzapur,6415.1,6.4151
2004,UP,Moradabad,6381.55,6.38155
2005,UP,Moradabad,7277.49,7.27749
2006,UP,Moradabad,8363.43,8.36343
2007,UP,Moradabad,10156.37,10.15637
2008,UP,Moradabad,11551.01,11.55101
2009,UP,Moradabad,14955.32,14.95532
2010,UP,Moradabad,15546.25,15.54625
2011,UP,Moradabad,17048.48,17.04848
2004,UP,Muzaffarnagar,7123.39,7.12339
2005,UP,Muzaffarnagar,8211.04,8.21104
2006,UP,Muzaffarnagar,8867.9,8.8679
2007,UP,Muzaffarnagar,9598.55,9.59855
2008,UP,Muzaffarnagar,11264.51,11.26451
2009,UP,Muzaffarnagar,14853.77,14.85377
2010,UP,Muzaffarnagar,16561.86,16.56186
2011,UP,Muzaffarnagar,18984.51,18.98451
2004,UP,Pilibhit,2541.85,2.54185
2005,UP,Pilibhit,3954.82,3.95482
2006,UP,Pilibhit,4351.28,4.35128
2007,UP,Pilibhit,5634.78,5.63478
2008,UP,Pilibhit,5702.21,5.70221
2009,UP,Pilibhit,6332.22,6.33222
2010,UP,Pilibhit,7451.19,7.45119
2011,UP,Pilibhit,7704.88,7.70488
2004,UP,Pratap.Garh,2005.14,2.00514
2005,UP,Pratap.Garh,2715.6,2.7156
2006,UP,Pratap.Garh,3008.17,3.00817
2007,UP,Pratap.Garh,3435.19,3.43519
2008,UP,Pratap.Garh,4032.73,4.03273
2009,UP,Pratap.Garh,4786.47,4.78647
2010,UP,Pratap.Garh,6111.25,6.11125
2011,UP,Pratap.Garh,6177.95,6.17795
2004,UP,Rae.Bareli,2965.01,2.96501
2005,UP,Rae.Bareli,3770.8,3.7708
2006,UP,Rae.Bareli,4215.52,4.21552
2007,UP,Rae.Bareli,4698.76,4.69876
2008,UP,Rae.Bareli,5062,5.062
2009,UP,Rae.Bareli,5937.38,5.93738
2010,UP,Rae.Bareli,5171.31,5.17131
2011,UP,Rae.Bareli,5723.85,5.72385
2004,UP,Rampur,3148.79,3.14879
2005,UP,Rampur,3271.99,3.27199
2006,UP,Rampur,3979.68,3.97968
2007,UP,Rampur,4964.03,4.96403
2008,UP,Rampur,5475.17,5.47517
2009,UP,Rampur,6399.86,6.39986
2010,UP,Rampur,6795.93,6.79593
2011,UP,Rampur,7329.76,7.32976
2004,UP,Saharanpur,6248.84,6.24884
2005,UP,Saharanpur,7301.1,7.3011
2006,UP,Saharanpur,7723.05,7.72305
2007,UP,Saharanpur,8460.25,8.46025
2008,UP,Saharanpur,9578.1,9.5781
2009,UP,Saharanpur,12289.09,12.28909
2010,UP,Saharanpur,15134.66,15.13466
2011,UP,Saharanpur,15163.27,15.16327
2004,UP,Sant.kabeer.Maharaj.Ganj,1125.05,1.12505
2005,UP,Sant.kabeer.Maharaj.Ganj,1487.48,1.48748
2006,UP,Sant.kabeer.Maharaj.Ganj,1443.3,1.4433
2007,UP,Sant.kabeer.Maharaj.Ganj,1696.41,1.69641
2008,UP,Sant.kabeer.Maharaj.Ganj,2034.3,2.0343
2009,UP,Sant.kabeer.Maharaj.Ganj,2486.93,2.48693
2010,UP,Sant.kabeer.Maharaj.Ganj,2898.73,2.89873
2011,UP,Sant.kabeer.Maharaj.Ganj,3461.9,3.4619
2004,UP,Sant.Ravi.Das.Nagar,1639.3,1.6393
2005,UP,Sant.Ravi.Das.Nagar,1782.79,1.78279
2006,UP,Sant.Ravi.Das.Nagar,2340.26,2.34026
2007,UP,Sant.Ravi.Das.Nagar,2663.2,2.6632
2008,UP,Sant.Ravi.Das.Nagar,3160.42,3.16042
2009,UP,Sant.Ravi.Das.Nagar,3085.26,3.08526
2010,UP,Sant.Ravi.Das.Nagar,3608.87,3.60887
2011,UP,Sant.Ravi.Das.Nagar,4593.65,4.59365
2004,UP,Shahjahanpur,3430.92,3.43092
2005,UP,Shahjahanpur,4013.85,4.01385
2006,UP,Shahjahanpur,4762.4,4.7624
2007,UP,Shahjahanpur,6439.04,6.43904
2008,UP,Shahjahanpur,6196.27,6.19627
2009,UP,Shahjahanpur,7111.36,7.11136
2010,UP,Shahjahanpur,8215.29,8.21529
2011,UP,Shahjahanpur,10579.6,10.5796
2004,UP,Shravasti,719.44,0.71944
2005,UP,Shravasti,1152.72,1.15272
2006,UP,Shravasti,1503.64,1.50364
2007,UP,Shravasti,1205.18,1.20518
2008,UP,Shravasti,1523.15,1.52315
2009,UP,Shravasti,1710.56,1.71056
2010,UP,Shravasti,2333.75,2.33375
2011,UP,Shravasti,2346.03,2.34603
2004,UP,Siddharth.Nagar,1589.62,1.58962
2005,UP,Siddharth.Nagar,2251.4,2.2514
2006,UP,Siddharth.Nagar,2448.07,2.44807
2007,UP,Siddharth.Nagar,2745.04,2.74504
2008,UP,Siddharth.Nagar,3159.63,3.15963
2009,UP,Siddharth.Nagar,3567.44,3.56744
2010,UP,Siddharth.Nagar,4664.09,4.66409
2011,UP,Siddharth.Nagar,4913.25,4.91325
2004,UP,Sitapur,4347.06,4.34706
2005,UP,Sitapur,5118.65,5.11865
2006,UP,Sitapur,6442.81,6.44281
2007,UP,Sitapur,6983.36,6.98336
2008,UP,Sitapur,8175.69,8.17569
2009,UP,Sitapur,10826.98,10.82698
2010,UP,Sitapur,12113.63,12.11363
2011,UP,Sitapur,12249.17,12.24917
2004,UP,Sonbhadra,3890.87,3.89087
2005,UP,Sonbhadra,4738.27,4.73827
2006,UP,Sonbhadra,4237.59,4.23759
2007,UP,Sonbhadra,4873.8,4.8738
2008,UP,Sonbhadra,5453.83,5.45383
2009,UP,Sonbhadra,6098.52,6.09852
2010,UP,Sonbhadra,5767.85,5.76785
2011,UP,Sonbhadra,7496.87,7.49687
2004,UP,Sultanpur,3293.61,3.29361
2005,UP,Sultanpur,4174.08,4.17408
2006,UP,Sultanpur,4476.54,4.47654
2007,UP,Sultanpur,5301.47,5.30147
2008,UP,Sultanpur,6079.33,6.07933
2009,UP,Sultanpur,6942.77,6.94277
2010,UP,Sultanpur,5584.48,5.58448
2011,UP,Sultanpur,6515.15,6.51515
2004,UP,Unnao,3621.89,3.62189
2005,UP,Unnao,4267.99,4.26799
2006,UP,Unnao,4728.82,4.72882
2007,UP,Unnao,5383.48,5.38348
2008,UP,Unnao,6037.85,6.03785
2009,UP,Unnao,7163.84,7.16384
2010,UP,Unnao,8166.86,8.16686
2011,UP,Unnao,9707.45,9.70745
2004,UP,Varanasi,4285.02,4.28502
2005,UP,Varanasi,4812.3,4.8123
2006,UP,Varanasi,5679.7,5.6797
2007,UP,Varanasi,5691.3,5.6913
2008,UP,Varanasi,6566.91,6.56691
2009,UP,Varanasi,8693.22,8.69322
2010,UP,Varanasi,9992.04,9.99204
2011,UP,Varanasi,11296.41,11.29641
1999,Karnataka,Bagalkote,2574.91,2.57491
2000,Karnataka,Bagalkote,2911.93,2.91193
2001,Karnataka,Bagalkote,2890.08,2.89008
2002,Karnataka,Bagalkote,2901.51,2.90151
2003,Karnataka,Bagalkote,2782.47,2.78247
2004,Karnataka,Bagalkote,3265.26,3.26526
2005,Karnataka,Bagalkote,3886.28,3.88628
1999,Karnataka,Bangalore.Rural,3262.57,3.26257
2000,Karnataka,Bangalore.Rural,5211.29,5.21129
2001,Karnataka,Bangalore.Rural,5102.73,5.10273
2002,Karnataka,Bangalore.Rural,4251.94,4.25194
2003,Karnataka,Bangalore.Rural,5242.59,5.24259
2004,Karnataka,Bangalore.Rural,5588.71,5.58871
2005,Karnataka,Bangalore.Rural,6328.01,6.32801
1999,Karnataka,Bangalore.Urban,21876.93,21.87693
2000,Karnataka,Bangalore.Urban,21138.68,21.13868
2001,Karnataka,Bangalore.Urban,26837.72,26.83772
2002,Karnataka,Bangalore.Urban,29536.98,29.53698
2003,Karnataka,Bangalore.Urban,32782.23,32.78223
2004,Karnataka,Bangalore.Urban,43761.74,43.76174
2005,Karnataka,Bangalore.Urban,48077.32,48.07732
1999,Karnataka,Belgaum,6968.35,6.96835
2000,Karnataka,Belgaum,8136.9,8.1369
2001,Karnataka,Belgaum,7281.78,7.28178
2002,Karnataka,Belgaum,7521.78,7.52178
2003,Karnataka,Belgaum,7889.51,7.88951
2004,Karnataka,Belgaum,8791.31,8.79131
2005,Karnataka,Belgaum,10190.37,10.19037
1999,Karnataka,Bellary,3517.42,3.51742
2000,Karnataka,Bellary,3634.58,3.63458
2001,Karnataka,Bellary,3749.13,3.74913
2002,Karnataka,Bellary,4463.94,4.46394
2003,Karnataka,Bellary,6227.78,6.22778
2004,Karnataka,Bellary,6827.7,6.8277
2005,Karnataka,Bellary,8755.42,8.75542
1999,Karnataka,Bidar,1873.37,1.87337
2000,Karnataka,Bidar,1789.02,1.78902
2001,Karnataka,Bidar,1909.09,1.90909
2002,Karnataka,Bidar,2075.39,2.07539
